id,document,label
739929959,누가 도깨비에요?,0
597672743,진심 망작..,0
597585065,"셍각보다 재미났어요 
코믹케릭도 괜찮고 설정도 재미났어요 ㅎ",1
597562997,3탄 가즈아~~~,1
597560513,일진시리즈중 최고네요,1
599279905,시작이  너무 좋았는데  제 기대와는 다른  방향으로 흘러가서  보고나서 머리가 좀 아팠습니다.  저 별점은 전부   앞 30분 동안의 점수입니다.,1
598224704,완전 몰입해서 봄,1
597694799,"인생은 선택의 연속
오른쪽 왼쪽 앞뒤어디를 선택하느냐에 따라 결과는 변하지
선택의 순간
어디로 갈것인가?
선택은 당신의 몫",1
598145816,개인적으로 이런 영화 좋아해요.,1
637678614,"0점 주고 싶은 영화 기분만 더럽고 뭐 재미도 없고
풀이 싫어지는 영화",0
598218727,내가 이걸 왜 봤을까.... 유툽 영화소개에서 보고 댓글에서 재밌다길래 본건데... 진짜 핵지루하고 딱히 무서운것도 아니고 기분만 나쁨. 킬링타임으로도 아까운 영화,0
649169889,"식상함.
화면이 온통 까매서 보이지도 않음.",0
599861430,그냥 저냥!,0
597579810,넷플릭스 영화의 특징이 반복되는 또 하나의 작품. 시작은 늘 그럴싸 하다. 하지만 곧 갈 길을 잃고 떠도는 스토리가 일반적. 원작이 좋아도 연출이 무뎌지고 연출이 버텨도 연기가 무너지는 경향이 있다. 법칙도 규칙도 없이 난해하기만 한 작품이 예술쪽에선 어떨지 몰라도 상업적으로는 실망만 안겨줄 뿐이다. ,0
766870947,개인적인 평점은7.5주고 싶은데 평점이 너무 낮은것 같아서 10점~독특하고 재미짐~ 왜 저런일이 벌어졌을까 하는 궁금증은 남음~배우들 연기 좋음,1
756592324,기대 하지 않고 봤는데 볼만함 큐브랑 느낌이 비슷하너요,1
737589873,묘하게 매력 있어 .......,1
701408207,왜 도대체 왜 이렇게 각본을 쓴걸까? 모든 등장 인물의 행동이 너무 현실성이 없어서 몰입감이 뚝 떨어지고 걍 좋은 소재를 땅바닥에 버렸다. 아무리 비현실적인 상황이여도 인간은 이렇게 행동할거라는 기대를 깨서는 안되는데 걍 노답임.. 핍진성 개판 시간만 날렸다.,0
672447346,",",1
598226009,나쁘지 않음,1
597689891,"개인적으로 아시아의 라스 폰트리에 감독이라고 생각됩니다
불편함의 끝을 보고싶으시면 도전해보세요",1
597579477,"이야기 자체는 일본만이 보여 줄 수 있는 막장의 끝을 보여주지만

감독의 감수성이 병적으로 풍부해진건지 파국으로 치닫는 절정에서도 하품이 나온다.",0
597578909,관념의 의미 모두 퇴화한 소노 시온,0
753451383,모든면이 정말 일본스러운 영화..,0
